re,ar,lx,ly,distance_from_training,mae_mag,rmse_mag,mae_x,mae_y,rmse_x,rmse_y
1500,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,6.544727e-08,1.243543e-07,4.105517e-08,3.564864e-08,9.538932e-08,8.254517e-08
1500,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,6.115906e-08,1.022593e-07,4.676318e-08,3.971745e-08,7.578695e-08,7.919286e-08
1500,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,5.489072e-08,9.210235e-08,4.265616e-08,5.250257e-08,7.231279e-08,7.316556e-08
1500,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,5.244269e-08,8.047869e-08,3.342874e-08,3.971213e-08,5.695717e-08,6.660743e-08
1500,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,5.243805e-08,8.982874e-08,3.561455e-08,3.170738e-08,6.207719e-08,6.963423e-08
1500,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,5.672861e-08,7.997998e-08,3.924838e-08,2.982773e-08,6.131526e-08,5.568513e-08
1500,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,4.806969e-08,6.943998e-08,3.614467e-08,2.716749e-08,4.959514e-08,5.465495e-08
1500,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,4.957650e-08,6.541374e-08,5.794815e-08,3.812456e-08,6.644455e-08,5.920193e-08
1600,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,7.235592e-08,1.443166e-07,4.336254e-08,4.950335e-08,1.127068e-07,9.957432e-08
1600,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,7.117080e-08,1.491448e-07,3.827139e-08,4.083485e-08,1.114579e-07,1.018703e-07
1600,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,6.680574e-08,1.233560e-07,3.898707e-08,4.583234e-08,8.798590e-08,9.107822e-08
1600,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,6.855628e-08,1.198933e-07,4.008606e-08,4.246661e-08,8.492144e-08,8.816770e-08
1600,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,5.743698e-08,9.327065e-08,4.284774e-08,4.137209e-08,7.386239e-08,6.823377e-08
