ar,re,lx,ly,distance_from_training,is_training_ar,mae_x,mae_y,mae_mag,rmse_x,rmse_y,rmse_mag,error_growth_rate
1.2x1,900,1.2,1.0,0.6732679675728525,False,3.4030098e-08,3.9483513e-08,3.8800724e-08,6.0727444e-08,5.7095342e-08,7.434368e-08,
1.3x1,100,1.3,1.0,0.6813435502970183,False,4.530005e-08,2.8051115e-08,5.7015058e-08,7.377277e-08,5.0755308e-08,8.8806644e-08,
1.3x1,1000,1.3,1.0,0.6813435502970183,False,2.0166178e-08,4.1059394e-08,4.4319126e-08,4.5066614e-08,5.6309062e-08,6.4227976e-08,
1.3x1,1100,1.3,1.0,0.6813435502970183,False,4.408735e-08,3.1576278e-08,5.4850894e-08,8.3692115e-08,5.9012248e-08,9.8533604e-08,
1.3x1,1200,1.3,1.0,0.6813435502970183,False,3.6310027e-08,3.031285e-08,5.001859e-08,7.694802e-08,6.645255e-08,9.71555e-08,
1.3x1,1300,1.3,1.0,0.6813435502970183,False,3.0409733e-08,6.1556236e-08,5.7821403e-08,8.0331255e-08,8.093425e-08,1.0196048e-07,
1.3x1,1400,1.3,1.0,0.6813435502970183,False,4.0959986e-08,5.154441e-08,5.7872757e-08,8.698038e-08,7.6673004e-08,1.07438645e-07,
1.3x1,1500,1.3,1.0,0.6813435502970183,False,4.676318e-08,3.9717445e-08,6.1159064e-08,7.578695e-08,7.919286e-08,1.0225933e-07,
1.3x1,1600,1.3,1.0,0.6813435502970183,False,3.898707e-08,4.583234e-08,6.680574e-08,8.79859e-08,9.107822e-08,1.2335605e-07,
1.3x1,1700,1.3,1.0,0.6813435502970183,False,6.7526415e-08,4.8438135e-08,8.67402e-08,1.2511762e-07,1.0622595e-07,1.5738794e-07,
1.3x1,1800,1.3,1.0,0.6813435502970183,False,5.0496006e-08,4.499707e-08,8.715826e-08,1.3221032e-07,1.1038016e-07,1.711564e-07,
1.3x1,1900,1.3,1.0,0.6813435502970183,False,5.1198807e-08,5.4455953e-08,9.078682e-08,1.3060789e-07,1.2233373e-07,1.762866e-07,
1.3x1,200,1.3,1.0,0.6813435502970183,False,5.0533966e-08,1.59589e-08,5.5941168e-08,8.189606e-08,3.426688e-08,8.778794e-08,
1.3x1,2000,1.3,1.0,0.6813435502970183,False,6.3642894e-08,5.950366e-08,9.005548e-08,1.3034607e-07,1.178176e-07,1.6959844e-07,
1.3x1,2100,1.3,1.0,0.6813435502970183,False,5.7200467e-08,7.205712e-08,1.03027624e-07,1.4674798e-07,1.2936506e-07,1.9100457e-07,
1.3x1,300,1.3,1.0,0.6813435502970183,False,5.0287493e-08,3.3607023e-08,5.9638054e-08,6.285986e-08,4.1336065e-08,7.2002244e-08,
1.3x1,400,1.3,1.0,0.6813435502970183,False,1.4545817e-08,2.45633e-08,1.9407869e-08,2.0315133e-08,2.9775912e-08,2.7884047e-08,
1.3x1,500,1.3,1.0,0.6813435502970183,False,2.1971614e-08,1.5583675e-08,1.8459904e-08,2.6241816e-08,2.1562448e-08,2.6003534e-08,
1.3x1,600,1.3,1.0,0.6813435502970183,False,1.3498876e-08,3.6333685e-08,2.8604713e-08,2.275918e-08,3.971331e-08,3.5075903e-08,
1.3x1,700,1.3,1.0,0.6813435502970183,False,1.6212564e-08,3.3878155e-08,3.1705007e-08,3.1435704e-08,4.106255e-08,4.299657e-08,
1.3x1,800,1.3,1.0,0.6813435502970183,False,2.1920036e-08,1.7763496e-08,2.7884564e-08,4.4480426e-08,3.206278e-08,5.109256e-08,
1.3x1,900,1.3,1.0,0.6813435502970183,False,2.5148083e-08,2.5643525e-08,3.346562e-08,5.7938596e-08,4.2728672e-08,6.615245e-08,
1.4x1,100,1.4,1.0,0.6923443204756335,False,4.820448e-08,1.767282e-08,5.5308885e-08,7.600685e-08,4.32845e-08,8.678347e-08,
1.4x1,1000,1.4,1.0,0.6923443204756335,False,5.8528354e-08,4.1561048e-08,5.2149648e-08,7.62322e-08,6.330256e-08,8.4130875e-08,
1.4x1,1100,1.4,1.0,0.6923443204756335,False,3.1972125e-08,3.279003e-08,4.289664e-08,6.7174156e-08,5.8595706e-08,8.3876145e-08,
1.4x1,1200,1.4,1.0,0.6923443204756335,False,3.4648583e-08,4.9221203e-08,4.8177906e-08,6.34866e-08,6.9043814e-08,8.4947885e-08,
1.4x1,1300,1.4,1.0,0.6923443204756335,False,3.5090046e-08,5.4288087e-08,5.0449206e-08,7.0484944e-08,6.991341e-08,8.7435545e-08,
1.4x1,1400,1.4,1.0,0.6923443204756335,False,4.8147783e-08,4.2220254e-08,5.8172027e-08,8.772637e-08,7.3119026e-08,1.0642942e-07,
1.4x1,1500,1.4,1.0,0.6923443204756335,False,4.265616e-08,5.2502568e-08,5.4890723e-08,7.2312794e-08,7.316556e-08,9.210235e-08,
1.4x1,1600,1.4,1.0,0.6923443204756335,False,4.0086057e-08,4.246661e-08,6.855628e-08,8.492144e-08,8.81677e-08,1.1989326e-07,
1.4x1,1700,1.4,1.0,0.6923443204756335,False,5.4265122e-08,5.228374e-08,7.262084e-08,1.06265e-07,9.781109e-08,1.3651112e-07,
1.4x1,1800,1.4,1.0,0.6923443204756335,False,4.6250637e-08,4.9800217e-08,8.0755434e-08,1.0511809e-07,1.13431646e-07,1.5193055e-07,
1.4x1,1900,1.4,1.0,0.6923443204756335,False,5.6202886e-08,5.3479035e-08,8.618289e-08,1.15804504e-07,1.163931e-07,1.5954348e-07,
1.4x1,200,1.4,1.0,0.6923443204756335,False,3.947477e-08,3.831545e-08,5.8924694e-08,6.7285704e-08,4.9284807e-08,8.175396e-08,
1.4x1,2000,1.4,1.0,0.6923443204756335,False,1.0293053e-07,5.4440576e-08,1.1519242e-07,1.6265105e-07,1.2564003e-07,1.9605342e-07,
1.4x1,2100,1.4,1.0,0.6923443204756335,False,6.252079e-08,6.0354125e-08,9.388011e-08,1.1191991e-07,1.2534393e-07,1.6249757e-07,
1.4x1,300,1.4,1.0,0.6923443204756335,False,3.747487e-08,2.0516e-08,3.760804e-08,4.357462e-08,3.0606746e-08,4.7303082e-08,
