ar,re,lx,ly,distance_from_training,is_training_ar,mae_x,mae_y,mae_mag,rmse_x,rmse_y,rmse_mag,error_growth_rate
1.3x1,400,1.3,1.0,0.6813435502970183,False,5.822656e-08,2.4113936e-07,2.3860008e-07,7.3070034e-08,4.8663713e-07,4.472082e-07,
1.3x1,500,1.3,1.0,0.6813435502970183,False,9.7999276e-08,2.513047e-07,2.2606702e-07,1.5570971e-07,4.9883784e-07,4.5172115e-07,
1.3x1,600,1.3,1.0,0.6813435502970183,False,5.958572e-08,2.5297155e-07,2.3488549e-07,9.348874e-08,5.1899576e-07,4.570355e-07,
1.3x1,700,1.3,1.0,0.6813435502970183,False,4.2646306e-08,2.7954638e-07,2.3065537e-07,1.12378586e-07,5.386657e-07,4.6443643e-07,
1.3x1,800,1.3,1.0,0.6813435502970183,False,9.126099e-08,3.0437656e-07,2.7400802e-07,1.443785e-07,5.813631e-07,5.1675727e-07,
1.3x1,900,1.3,1.0,0.6813435502970183,False,1.0164751e-07,3.0815386e-07,2.6135638e-07,1.6808275e-07,6.2698706e-07,5.3464436e-07,
1.4x1,100,1.4,1.0,0.6923443204756335,False,3.8823515e-08,2.5900823e-07,2.6059053e-07,4.9454616e-08,5.050876e-07,4.984275e-07,
1.4x1,1000,1.4,1.0,0.6923443204756335,False,1.0164971e-07,3.306844e-07,2.7391027e-07,1.8201003e-07,6.4699486e-07,5.454e-07,
1.4x1,1100,1.4,1.0,0.6923443204756335,False,6.2108136e-08,3.5703195e-07,2.8292675e-07,1.7309162e-07,6.904259e-07,5.77169e-07,
1.4x1,1200,1.4,1.0,0.6923443204756335,False,8.0877285e-08,3.5873737e-07,2.8188828e-07,2.032754e-07,7.2550995e-07,5.996735e-07,
1.4x1,1300,1.4,1.0,0.6923443204756335,False,1.046389e-07,4.064755e-07,3.1989796e-07,2.3389298e-07,7.9621105e-07,6.4926377e-07,
1.4x1,1400,1.4,1.0,0.6923443204756335,False,1.039497e-07,4.2276713e-07,3.3011352e-07,2.3269347e-07,8.164154e-07,6.6306734e-07,
1.4x1,1500,1.4,1.0,0.6923443204756335,False,1.8118058e-07,4.2437551e-07,3.2754875e-07,3.4379497e-07,8.355396e-07,6.8011974e-07,
1.4x1,1600,1.4,1.0,0.6923443204756335,False,1.3731233e-07,4.354787e-07,3.3148928e-07,3.0913594e-07,8.651793e-07,6.814735e-07,
1.4x1,1700,1.4,1.0,0.6923443204756335,False,9.379793e-08,4.2634406e-07,3.0759503e-07,2.669746e-07,7.976822e-07,6.232483e-07,
1.4x1,1800,1.4,1.0,0.6923443204756335,False,1.7429917e-07,4.3020958e-07,3.1570704e-07,3.6825662e-07,8.3654436e-07,6.403144e-07,
1.4x1,1900,1.4,1.0,0.6923443204756335,False,1.4046259e-07,4.6049527e-07,3.3905678e-07,3.372966e-07,8.918059e-07,6.8168464e-07,
1.4x1,200,1.4,1.0,0.6923443204756335,False,4.3207542e-08,2.2969098e-07,2.407945e-07,4.7103274e-08,4.817647e-07,4.644205e-07,
1.4x1,2000,1.4,1.0,0.6923443204756335,False,1.1584738e-07,4.75611e-07,3.6073328e-07,2.82801e-07,9.294457e-07,7.149462e-07,
1.4x1,2100,1.4,1.0,0.6923443204756335,False,1.5791738e-07,4.993717e-07,3.585335e-07,3.6938167e-07,9.593614e-07,7.1780454e-07,
1.4x1,300,1.4,1.0,0.6923443204756335,False,5.1565344e-08,2.421497e-07,2.3008012e-07,9.419674e-08,5.0254454e-07,4.750273e-07,
1.4x1,400,1.4,1.0,0.6923443204756335,False,3.3150773e-08,2.4007772e-07,2.1433073e-07,6.783514e-08,4.9194335e-07,4.559689e-07,
1.4x1,500,1.4,1.0,0.6923443204756335,False,7.726879e-08,2.423752e-07,2.433359e-07,1.1518042e-07,5.042056e-07,4.7246252e-07,
1.4x1,600,1.4,1.0,0.6923443204756335,False,3.6881346e-08,2.5918243e-07,2.2216297e-07,9.988284e-08,5.396829e-07,4.800457e-07,
1.4x1,700,1.4,1.0,0.6923443204756335,False,8.843525e-08,2.8272748e-07,2.675219e-07,1.2750215e-07,5.614792e-07,4.943749e-07,
1.4x1,800,1.4,1.0,0.6923443204756335,False,6.954799e-08,2.842175e-07,2.403908e-07,1.3595387e-07,5.60615e-07,4.8496423e-07,
1.4x1,900,1.4,1.0,0.6923443204756335,False,5.2385364e-08,3.3452932e-07,2.7504854e-07,1.3942731e-07,6.4432146e-07,5.540727e-07,
1.5x1,100,1.5,1.0,0.7060113295832983,False,2.7184667e-08,2.5990562e-07,2.5589694e-07,3.834393e-08,4.7760324e-07,4.692825e-07,
1.5x1,1000,1.5,1.0,0.7060113295832983,False,5.472232e-08,3.3579798e-07,2.6694482e-07,1.4209752e-07,6.450555e-07,5.494461e-07,
