re,ar,lx,ly,distance_from_training,mae_mag,rmse_mag,mae_x,mae_y,rmse_x,rmse_y
800,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.571265e-07,5.140832e-07,9.070614e-08,2.951036e-07,1.509032e-07,5.901657e-07
800,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.886379e-07,5.399291e-07,8.107874e-08,3.304672e-07,1.356158e-07,6.117002e-07
800,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.772149e-07,5.415384e-07,6.370825e-08,3.096505e-07,1.208281e-07,6.004823e-07
800,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,2.819537e-07,5.497715e-07,4.936907e-08,3.288607e-07,1.059952e-07,6.196743e-07
900,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.365193e-07,5.123941e-07,6.790710e-08,3.042070e-07,1.777668e-07,6.080194e-07
900,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.511435e-07,5.621996e-07,6.323187e-08,3.002759e-07,1.430074e-07,6.505392e-07
900,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.613564e-07,5.346444e-07,1.016475e-07,3.081539e-07,1.680827e-07,6.269871e-07
900,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.750485e-07,5.540727e-07,5.238536e-08,3.345293e-07,1.394273e-07,6.443215e-07
900,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.630718e-07,5.547376e-07,6.411235e-08,3.196076e-07,1.496766e-07,6.421807e-07
900,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.871039e-07,5.607311e-07,1.226232e-07,3.195145e-07,1.860973e-07,6.450318e-07
900,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.791641e-07,5.405356e-07,6.025986e-08,3.390400e-07,1.329594e-07,6.256896e-07
900,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.883825e-07,5.626255e-07,5.919443e-08,3.417138e-07,1.284439e-07,6.430080e-07
900,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,2.794922e-07,5.489634e-07,4.640338e-08,3.289931e-07,1.168246e-07,6.282009e-07
1000,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.403352e-07,4.884761e-07,8.852449e-08,2.930514e-07,1.715485e-07,5.995399e-07
1000,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.333907e-07,5.186184e-07,5.727956e-08,2.969259e-07,1.567521e-07,6.162895e-07
1000,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.698269e-07,5.424200e-07,8.237969e-08,3.171950e-07,1.511576e-07,6.397078e-07
1000,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.739103e-07,5.454000e-07,1.016497e-07,3.306844e-07,1.820100e-07,6.469949e-07
1000,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.669448e-07,5.494461e-07,5.472232e-08,3.357980e-07,1.420975e-07,6.450555e-07
1000,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.708528e-07,5.756352e-07,5.901085e-08,3.311057e-07,1.456991e-07,6.648461e-07
1000,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.940958e-07,5.939690e-07,6.173894e-08,3.510782e-07,1.409997e-07,6.845443e-07
1000,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.969541e-07,5.903922e-07,6.005547e-08,3.449694e-07,1.255904e-07,6.761942e-07
1000,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,3.105745e-07,6.099361e-07,1.256555e-07,3.625759e-07,2.081756e-07,6.955441e-07
1100,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.745864e-07,5.728330e-07,6.529580e-08,3.502530e-07,1.760104e-07,6.870508e-07
1100,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.463873e-07,5.321260e-07,9.868918e-08,3.225744e-07,2.315678e-07,6.555911e-07
1100,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.874578e-07,5.824605e-07,6.981487e-08,3.564244e-07,1.640801e-07,6.917406e-07
1100,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.829267e-07,5.771690e-07,6.210814e-08,3.570320e-07,1.730916e-07,6.904259e-07
1100,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.123782e-07,6.233388e-07,7.421077e-08,3.760166e-07,1.554659e-07,7.285126e-07
1100,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.825761e-07,5.853808e-07,1.247252e-07,3.454550e-07,2.399463e-07,6.875505e-07
1100,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.979150e-07,6.062862e-07,9.068408e-08,3.625780e-07,1.862973e-07,7.102491e-07
1100,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,3.326406e-07,5.980120e-07,8.776757e-08,3.924223e-07,1.548683e-07,6.982658e-07
1100,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,3.330058e-07,6.282899e-07,7.854244e-08,3.795928e-07,1.477909e-07,7.122590e-07
1200,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.790334e-07,6.017852e-07,8.200335e-08,3.611077e-07,2.046842e-07,7.347059e-07
1200,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.712051e-07,5.960469e-07,6.587955e-08,3.546012e-07,1.990383e-07,7.290498e-07
1200,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.694014e-07,5.822993e-07,1.161902e-07,3.521191e-07,2.314600e-07,7.090220e-07
1200,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.818883e-07,5.996735e-07,8.087729e-08,3.587374e-07,2.032754e-07,7.255099e-07
1200,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.079261e-07,6.048348e-07,7.790533e-08,3.926002e-07,1.837449e-07,7.236675e-07
1200,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,3.234380e-07,6.436775e-07,7.524513e-08,4.066973e-07,1.858936e-07,7.682070e-07
1200,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,3.514960e-07,6.585426e-07,6.845305e-08,4.358157e-07,1.709968e-07,7.763618e-07
1200,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,3.377131e-07,6.690799e-07,6.610751e-08,4.009006e-07,1.503361e-07,7.788744e-07
1200,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,3.488631e-07,6.777089e-07,6.796790e-08,4.263478e-07,1.644626e-07,7.886853e-07
1300,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.698624e-07,6.055390e-07,9.287786e-08,3.631491e-07,2.471635e-07,7.552910e-07
1300,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.794934e-07,6.134417e-07,7.483867e-08,3.659881e-07,2.195331e-07,7.578724e-07
1300,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.975950e-07,6.430113e-07,8.661258e-08,3.830261e-07,2.184303e-07,7.829880e-07
1300,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,3.198980e-07,6.492638e-07,1.046389e-07,4.064755e-07,2.338930e-07,7.962111e-07
1300,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.257724e-07,6.696727e-07,1.065627e-07,4.070139e-07,2.385799e-07,8.044680e-07
1300,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,3.460870e-07,6.793475e-07,8.331864e-08,4.092666e-07,1.691041e-07,8.008351e-07
1300,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,3.730486e-07,7.410004e-07,1.046941e-07,4.273497e-07,1.888824e-07,8.544389e-07
1300,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,3.494953e-07,7.088761e-07,1.169482e-07,4.271391e-07,2.290831e-07,8.257587e-07
1300,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,3.502166e-07,6.832146e-07,7.815698e-08,4.210247e-07,1.740486e-07,8.014820e-07
1400,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.956370e-07,6.535186e-07,1.168655e-07,3.965885e-07,2.699962e-07,8.131122e-07
1400,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,3.120487e-07,6.550944e-07,1.271170e-07,4.083286e-07,2.889309e-07,8.213229e-07
